Name,Description,Language,Stars Gained,Last Updated
AlbertoMontalesi/InspiredWebDev-Tutorials,Follow my tutorials and articles here: https://www.inspiredwebdev.com || get my book here: https://github.com/AlbertoMontalesi/The-comple…,JavaScript,29,"on Dec 9, 2020"
vsch/Javafx-WebView-Debugger,Full Featured Google Chrome Dev Tools to JavaFX WebView browser debugging.,Java,66,"on Jan 4, 2022"
christian-bromann/devtools-backend,Standalone implementation of the Chrome DevTools backend to debug arbitrary web environments.,JavaScript,143,"on Feb 1, 2022"
thisdot/framework.dev,A set of websites that act as collections of popular libraries and learning content for the web ecosystem.,TypeScript,98,on Aug 20
Apress/ethereum-for-web-developers,Source code for 'Ethereum for Web Developers' by Santiago Palladino,JavaScript,47,"on Oct 4, 2023"
nepaul/awesome-web-development,🧡 A curated list of awesome web development resources.,no language,141,13 days ago
Rekseto/PolishWebDevForBeginners,Polish webdevs helps beginners,no language,118,"on Nov 22, 2020"
ctx-core/dev,A composable monorepo web-service/front-end toolkit,Shell,26,27 days ago
lareaves/web_development_basics,"Initial HTML, CSS, and Javascript files for CS230 Assignment",JavaScript,6,"on Feb 24, 2014"
judygab/web-dev-projects-2,Part 2 of web development projects,JavaScript,31,"on Dec 6, 2022"
TonikX/ITMO_ICT_WebDevelopment_2021-2022,"Репозиторий для реализации дистанционного обучения по дисциплине ""Web-программирование"".",HTML,5,"on May 25, 2023"
thanhluanuit/full-stack-web-developer,🔥 Roadmap to become a Full Stack Web Developer. What? Why? How?,no language,87,"on Aug 22, 2020"
electrode-io/electrode-webpack-reporter,A HTML based reporter for webpack dev server,JavaScript,59,"on Mar 17, 2017"
MaedahBatool/web-dev-resources,A curated list of free web resources to kick start learning web development.,no language,22,"on Oct 31, 2022"
openwebwork/retired-webwork2-dev,"This is the old dev repo for webwork2 code, please use webwork2: branch develop (and the git flow style if at all possible) for future de…",Perl,22,"on Mar 10, 2013"
NatTuck/cs4550-hw04,"Starter code for Web Dev HW04, Spring 2021",Elixir,2,"on Feb 3, 2021"
yfain/WebDevForJavaProgrammers,The information about the course Web Development for Java Programmers,no language,61,"on Apr 26, 2014"
vrann/magento2devbox-web,"Dockerfile with needed extensions, configurations and commands that install Magento 2",PHP,2,"on Nov 17, 2017"
bpinali/web-developers-goodies,Some templates and tools for future web developers,HTML,0,"on Dec 1, 2015"
WebDevBootcamp/WebDevBootcamp.github.io,public,JavaScript,9,"on Dec 18, 2014"
Jutanium/viteconf-tutour,Create interactive web dev tutorials,TypeScript,78,"on Feb 9, 2023"
canopas/web-developer-roadmap,"Web Developer Roadmap is a path to understand web development including frontend, backend and cloud.",no language,105,"on May 30, 2023"
nesreensada/Python-and-Django-Full-Stack-Web-Developer-Bootcamp,Python and Django Full Stack Web Developer Bootcamp udemy course ,Python,62,"on Dec 4, 2017"
Abhisheksabhi33/Web-Development-And-Blockchain-Development-Hectoberfest-2023,"Contribute in this repository by raising genuine PR. Get verified, merged and earn the free swags from Hacktoberfest 2023.",JavaScript,13,"on Oct 9, 2023"
GameofSource-GFG/Web-Development,Web Development- GameofSource,JavaScript,13,"on Nov 14, 2020"
AbhiSinghDeveloper/Open-Source-Web-Development-for-Beginners,"This repository will contain the basic project based HTML, CSS, Bootstrap, JavaScript, etc.",HTML,50,"on Nov 1, 2023"
PacktPublishing/Web-Development-with-Blazor,"Web Development with Blazor, published by Packt",CSS,51,"on Jan 30, 2023"
PacktPublishing/Full-Stack-Web-Development-with-Remix,"Full Stack Web Development with Remix, published by Packt",TypeScript,130,on Jul 13
CFGer/frontend-curriculum,Updated 'Intro to Web Dev curriculum' 2019,HTML,21,"on Mar 23, 2020"
PacktPublishing/Web-Development-with-Blazor-Second-Edition,Code Repository for Web Development with Blazor Second Edition Published by Packt,HTML,43,"on Jul 3, 2023"
PacktPublishing/Django-2-Web-Development-Cookbook-Third-Edition,"Django 2 Web Development Cookbook - Third Edition, by Packt",Python,65,"on Jan 15, 2021"
tech2etc/React-Trippy-Tour-Website-Template,This is our second intermediate project for react js beginners. Tippy is a tour and travel multipage responsive website design.,JavaScript,60,"on Dec 30, 2022"
darkllangle/webpack_app,Webpack starter and dev environment,JavaScript,1,"on May 17, 2017"
IIIT-Delhi/byld-website,Static Website for IIIT-Delhi's Software Dev Club Byld ,HTML,8,"on Jan 20, 2023"
ascott1/ethical-web-dev,A series of short books on ethical web development,no language,190,"on Feb 12, 2018"
PacktPublishing/Hands-on-MERN-Stack-Web-Development,"Hands-on MERN Stack Web Development [Video], published by Packt",JavaScript,58,"on Mar 4, 2023"
